alpha,pi0Re,pi0Im,Dpi0Re,Dpi0Im
0.967007,0.0513396,0,0.216543,0
0.968579,0.0508316,0,0.216033,0
0.970151,0.0503242,0,0.215514,0
0.971724,0.0498175,0,0.214986,0
0.973296,0.0493116,0,0.214451,0
0.974869,0.0488065,0,0.213908,0
0.976441,0.0483022,0,0.213359,0
0.978013,0.0477988,0,0.212802,0
0.979586,0.0472964,0,0.21224,0
0.981158,0.0467949,0,0.211669,0
0.98273,0.0462944,0,0.211092,0
0.984303,0.045795,0,0.210509,0
0.985875,0.0452967,0,0.209919,0
0.987448,0.0447995,0,0.209324,0
0.98902,0.0443035,0,0.208721,0
0.990592,0.0438088,0,0.208112,0
0.992165,0.0433154,0,0.207497,0
0.993737,0.0428233,0,0.206878,0
0.995309,0.0423325,0,0.206253,0
0.996882,0.0418432,0,0.205622,0
0.998454,0.0413554,0,0.204986,0
1.00003,0.040869,0,0.204346,0
1.0016,0.0403842,0,0.2037,0
1.00317,0.039901,0,0.203049,0
1.00474,0.0394193,0,0.202392,0
1.00632,0.0389381,0,0.201735,0
1.00789,0.0384572,0,0.201078,0
1.00946,0.0379767,0,0.200422,0
1.01103,0.0374966,0,0.199767,0
1.01261,0.0370169,0,0.199111,0
1.01418,0.0365376,0,0.198455,0
1.01575,0.0360589,0,0.197803,0
1.01732,0.0355805,0,0.197154,0
1.01889,0.0351027,0,0.196502,0
1.02047,0.0346254,0,0.195838,0
1.02204,0.0341487,0,0.195174,0
1.02361,0.0336725,0,0.194529,0
1.02518,0.0331969,0,0.193894,0
1.02676,0.0327219,0,0.193214,0
1.02833,0.0322475,0,0.192613,0
1.0299,0.0317738,0,0.191814,0
1.03147,0.0313007,0,0.19063,0
1.03305,0.0308283,0,0.188568,0
1.03462,0.0303566,0,0.186447,0
1.03619,0.0298857,0,0.185127,0
1.03776,0.0294155,0,0.184754,0
1.03934,0.028946,0,0.184021,0
1.04091,0.0284774,0,0.183314,0
1.04248,0.0280095,0,0.182565,0
1.04405,0.0275425,0,0.181858,0
1.04563,0.0270763,0,0.18115,0
1.0472,0.0266111,0,0.180447,0
1.04877,0.0261467,0,0.179747,0
1.05034,0.0256832,0,0.179045,0
1.05191,0.0252206,0,0.178347,0
1.05349,0.024759,0,0.177652,0
1.05506,0.0242984,0,0.17696,0
1.05663,0.0238387,0,0.176271,0
1.0582,0.0233801,0,0.175584,0
1.05978,0.0229225,0,0.174899,0
1.06135,0.022466,0,0.174218,0
1.06292,0.0220105,0,0.173538,0
1.06449,0.0215562,0,0.172862,0
1.06607,0.021103,0,0.172188,0
1.06764,0.0206509,0,0.171516,0
1.06921,0.0201999,0,0.170847,0
1.07078,0.0197501,0,0.170182,0
1.07236,0.0193016,0,0.169518,0
1.07393,0.0188542,0,0.168857,0
1.0755,0.0184081,0,0.168201,0
1.07707,0.0179633,0,0.167543,0
1.07864,0.0175199,0,0.16689,0
